Title,Authors_with_affiliations,Conf,Year,Cited_by
Evolutionary clustering using frequent itemsets,"Shankar, R., International Institute of Information Technology, Hyderabad, India; Kiran, G.V.R., International Institute of Information Technology, Hyderabad, India; Pudi, V., International Institute of Information Technology, Hyderabad, India",SIGKDD,2010,
Fast object detection using local feature-based SVMs,"Shah, S., Indian Institute of Technology, New Delhi, India; Srinivasan, S.H., Advanced Technology Group, Yahoo, Bangalore, India; Sanyal, S., Advanced Technology Group, Yahoo, Bangalore, India",SIGKDD,2007,
Test point specific k estimation for kNN classifier,"Bhattacharya, G., Department of Physics, UIT, University of Burdwan, Burdwan, India; Ghosh, K., Department of Mathematics, UIT, University of Burdwan, Burdwan, India; Chowdhury, A.S., Department of Electronics and Telecom, Engineering, Jadavpur University, Kolkata, India",ICPR,2014,1
Matrix recovery using split bregman,"Gogna, A., ECE Department, Indraprastha Institute of Information Technology, Delhi, India; Shukla, A., ECE Department, Indraprastha Institute of Information Technology, Delhi, India; Majumdar, A., ECE Department, Indraprastha Institute of Information Technology, Delhi, India",ICPR,2014,
Identifying diverse set of images in flickr,"Negi, S., IBM India Research Lab, Plot No 4, Block C, Institutional Area, Vasant Kunj, New Delhi, India; Chaudhury, S., Indian Institute of Technology, New Delhi, India",ICPR,2014,
Kinect-variety fusion: A novel hybrid approach for artifacts-free 3DTV content generation,"Sharma, M., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Chaudhury, S., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Lall, B., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India",ICPR,2014,
Neural network based image modification for shape from observed SEM images,"Iwahori, Y., Dept. of Computer Science, Chubu University, Kasugai, Japan; Funahashi, K., Dept. of Computer Science, Nagoya Inst. of Tech., Nagoya, Japan; Woodham, R.J., Dept. of Computer Science, Univ. of British Columbia, Canada; Bhuyan, M.K., Dept. of E.E. Eng., IIT Guwahati, Guwahati, India",ICPR,2014,
Enhancing word image retrieval in presence of font variations,"Ranjan, V., CVIT, IIIT, Hyderabad, India; Harit, G., IIT, Jodhpur, India; Jawahar, C.V., CVIT, IIIT, Hyderabad, India",ICPR,2014,
Identifying ragas in Indian music,"Kumar, V., International Institute of Information Technology, Hyderabad, India; Pandya, H., International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., International Institute of Information Technology, Hyderabad, India",ICPR,2014,
An image inpainting algorithm using higher order singular value decomposition,"Ghorai, M., Electronics and Communication Sciences Unit, Indian Statistical Institute, India; Chanda, B., Electronics and Communication Sciences Unit, Indian Statistical Institute, India",ICPR,2014,
Unsupervised focus group identification from online product reviews,"Chaudhari, S., Language Technologies Institute, Carnegie Mellon University, Pittsburgh, United States; Gangadharaiah, R., IBM Research, Bangalore, India; Narayanaswamy, B., Department of CSA, University of California, San Diego, United States",ICPR,2014,
Semi-supervised online Bayesian network learner for handwritten characters recognition,"Kunwar, R., School of Information and Communication Technology, Griffith UniversityQLD, Australia; Pal, U., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Blumenstein, M., School of Information and Communication Technology, Griffith UniversityQLD, Australia",ICPR,2014,
On effectiveness of histogram of oriented gradient features for visible to near infrared face matching,"Dhamecha, T.I., IIIT-Delhi, India; Sharma, P., IIIT-Delhi, India; Singh, R., IIIT-Delhi, India; Vatsa, M., IIIT-Delhi, India",ICPR,2014,1
Average overlap for clustering incomplete data using symmetric non-negative matrix factorization,"Chaudhari, S., Language Technologies Institute, Carnegie Mellon University, Pittsburgh, United States; Murty, M.N., Department of CSA, Indian Institute of Science, Bangalore, India",ICPR,2014,
On iris spoofing using print attack,"Gupta, P., IIIT Delhi, India; Behera, S., IIIT Delhi, India; Vatsa, M., IIIT Delhi, India; Singh, R., IIIT Delhi, India",ICPR,2014,1
Face recognition in videos by label propagation,"Kumar, V., International Institute of Information Technology, Hyderabad, India; Namboodiri, A.M., International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., International Institute of Information Technology, Hyderabad, India",ICPR,2014,
Discovering user-communities and associated topics from YouTube,"Negi, S., IBM India Research Lab, New Delhi, India; Balasubramanyan, R., Carnegie Mellon University, Pittsburgh, PA, United States; Chaudhury, S., Indian Institute of Technology, New Delhi, India",ICPR,2014,
Inferring plane orientation from a single motion blurred image,"Rao, M.P., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Seetharaman, G., Information Direct., AFRL/RIEA, Rome, NY, United States",ICPR,2014,
Design of multi-kernel distance based hashing with multiple objectives for image indexing,"Gaur, V., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Hassan, E., Innovation Labs, Tata Consultancy Services, Delhi, India; Chaudhury, S., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India",ICPR,2014,
Small object discovery and recognition using actively guided robot,"Mittal, S., BITS, Pilani, India; Karthik, M.S., Robotics Research Centre, IIIT-H, India; Kumar, S., Robotics Research Centre, IIIT-H, India; Krishna, K.M., Robotics Research Centre, IIIT-H, India",ICPR,2014,
Indian classical dance classification on manifold using jensen-bregman logdet divergence,"Samanta, S., Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India; Chanda, B., Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India",ICPR,2014,
Currency recognition on mobile phones,"Singh, S., CVIT, IIIT Hyderabad, India; Choudhury, S., IIT Kharagpur, India; Vishal, K., CVIT, IIIT Hyderabad, India; Jawahar, C.V., CVIT, IIIT Hyderabad, India",ICPR,2014,
Extension of sparse randomized kaczmarz algorithm for multiple measurement vectors,"Aggarwal, H.K., Indraprastha Institute of Information Technology, Delhi, India; Majumdar, A., Indraprastha Institute of Information Technology, Delhi, India",ICPR,2014,
Word spotting in Bangla and English graphical documents,"Tarafdar, A., CVPR Unit, Indian Statistical Institute, India; Pal, U., CVPR Unit, Indian Statistical Institute, India; Ramel, J.-Y., Laboratoire D'Informatique, Universit̩ Fran̤ Rabelais Tours, France; Ragot, N., Laboratoire D'Informatique, Universit̩ Fran̤ Rabelais Tours, France; Chaudhuri, B.B., CVPR Unit, Indian Statistical Institute, India",ICPR,2014,
Underwater microscopic shape from focus,"Karthik, S., Department of Electrical Engineering, IIT Madras, Chennai, India; Rajagopalan, A.N., Department of Electrical Engineering, IIT Madras, Chennai, India",ICPR,2014,
Motion estimation and classification in compressive sensing from dynamic measurements,"Rengarajan, V., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Aravind, R., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India",ICPR,2014,
Gradient-angular-features for word-wise video script identification,"Shivakumara, P., Faculty of Computer Science, University of Malaya, Kuala Lumpur, Malaysia; Sharma, N., Griffith University, Gold Coast, QLD, Australia; Pal, U., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, India; Blumenstein, M., Griffith University, Gold Coast, QLD, Australia; Tan, C.L., School of Computing, National University of Singapore, Singapore, Singapore",ICPR,2014,1
A global-to-local approach to binarization of degraded document images,"Biswas, B., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Bhattacharya, U., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Chaudhuri, B.B., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India",ICPR,2014,
On validation of clustering techniques for bibliographic databases,"Mishra, S., Department of Computer Science and Engineering, Indian Institute of Technology Patna, Patna, India; Saha, S., Department of Computer Science and Engineering, Indian Institute of Technology Patna, Patna, India; Mondal, S., Department of Computer Science and Engineering, Indian Institute of Technology Patna, Patna, India",ICPR,2014,
Scalable video summarization using skeleton graph and random walk,"Panda, R., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India; Kuanar, S.K., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India; Chowdhury, A.S., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India",ICPR,2014,
Efficient evaluation of SVM classifiers using error space encoding,"Raval, N., Department of Computer Science, Duke University, United States; Tonge, R., Center for Visual Information Technology, IIIT Hyderabad, India; Jawahar, C.V., Center for Visual Information Technology, IIIT Hyderabad, India",ICPR,2014,
Extraction of retinal blood vessel using curvelet transform and fuzzy c-means,"Kar, S.S., Department of Information Technology, Indian Institute of Engineering Science and Technology, Shibpur Howrah, WB, India; Maity, S.P., Department of Information Technology, Indian Institute of Engineering Science and Technology, Shibpur Howrah, WB, India",ICPR,2014,
Estimating floor regions in cluttered indoor scenes from first person camera view,"Aggarwal, S., CVIT, International Institute of Information Technology, Hyderabad, India; Namboodiri, A.M., CVIT, International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., CVIT, International Institute of Information Technology, Hyderabad, India",ICPR,2014,
A Structural texture approach for characterising malignancy associated changes in pap smears based on mean-shift and the watershed transform,"Mehnert, A., Department of Signals and Systems, Chalmers University of Technology, Gothenburg, Sweden, MedTech West, Sahlgrenska University Hospital, Gothenburg, Sweden; Moshavegh, R., Department of Signals and Systems, Chalmers University of Technology, Gothenburg, Sweden; Sujathan, K., Department of Pathology, Regional Cancer Centre (RCC), Thiruvananthapuram, India; Malm, P., Centre for Image Analysis, Uppsala University, Uppsala, Sweden; Bengtsson, E., Centre for Image Analysis, Uppsala University, Uppsala, Sweden",ICPR,2014,
Lesion detection in breast ultrasound images using tissue transition analysis,"Biwas, S., Indian Institute of Science, Bengaluru, Karnataka, India; Zhao, F., General Electric Global Research, Niskayuna, NY, United States; Li, X., Apple, Cupertino, CA, United States; Mullick, R., General Electric Global Research, Bengaluru, Karnataka, India; Vaidya, V., General Electric Global Research, Bengaluru, Karnataka, India",ICPR,2014,
Adaptive security for human surveillance using multimodal open set biometric recognition,"Kumar, A., Department of Electrical Engineering, IIT Delhi, India; Kumar, A., Hong Kong Polytechnic University, Hong Kong",ICPR,2014,
Two-stage hybrid binarization around fringe map based text line segmentation for document images,"Jetley, S., Center for Development of Advanced Computing (C-DAC), Pune, India; Belhe, S., Center for Development of Advanced Computing (C-DAC), Pune, India; Koppula, V.K., Department of CSE, CMR College of Engineering and Technology, Hyderabad, India; Negi, A., Department of CIS, University of Hyderabad, India",ICPR,2012,3
Partial Least Squares kernel for computing similarities between video sequences,"Chandra, S., CVIT, IIIT Hyderabad, India; Jawahar, C.V., CVIT, IIIT Hyderabad, India",ICPR,2012,
Combination of product graph and random walk kernel for symbol spotting in graphical documents,"Dutta, A., Computer Vision Center, Universitat auto'Noma de Barcelona, Barcelona, Spain; Gibert, J., Computer Vision Center, Universitat auto'Noma de Barcelona, Barcelona, Spain; Llados, J., Computer Vision Center, Universitat auto'Noma de Barcelona, Barcelona, Spain; Bunke, H., Institute of Computer Science and Applied Mathematics, Universitat Bern, Bern, Switzerland; Pal, U., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India",ICPR,2012,2
